////////////////// KILLED UNITS DATA /////////////////////

Td  	ID  	Tj  	Df  	Dd  	Db
2078   	2511   	473   	55   	1550   	1605
2082   	2306   	266   	32   	1784   	1816
2098   	2646   	597   	72   	1429   	1501
2112   	2319   	275   	33   	1804   	1837
2142   	2320   	279   	34   	1829   	1863
2170   	2468   	443   	49   	1678   	1727
2176   	2386   	357   	43   	1776   	1819
2197   	2374   	319   	41   	1837   	1878
2202   	2680   	626   	74   	1502   	1576
2206   	2288   	254   	28   	1924   	1952
2243   	2419   	366   	46   	1831   	1877
2254   	2420   	367   	46   	1841   	1887
2256   	2490   	461   	52   	1743   	1795
2279   	2560   	523   	60   	1696   	1756
2291   	2568   	524   	62   	1705   	1767
2294   	2708   	656   	77   	1561   	1638
2301   	2447   	424   	46   	1831   	1877
2318   	2577   	527   	63   	1728   	1791
2325   	2640   	594   	71   	1660   	1731
2332   	2213   	200   	19   	2113   	2132
2374   	2526   	488   	58   	1828   	1886
2384   	2533   	490   	57   	1837   	1894
2390   	2595   	548   	64   	1778   	1842
2397   	2275   	252   	28   	2117   	2145
2405   	2602   	549   	66   	1790   	1856
2462   	2331   	285   	37   	2140   	2177
2489   	2769   	717   	83   	1689   	1772
2498   	2499   	463   	53   	1982   	2035
2502   	2337   	290   	38   	2174   	2212
2504   	2501   	465   	53   	1986   	2039
2509   	2427   	375   	46   	2088   	2134
2512   	2429   	375   	47   	2090   	2137
2519   	2770   	729   	82   	1708   	1790
2533   	2779   	734   	83   	1716   	1799
2538   	2710   	657   	78   	1803   	1881
2549   	2719   	659   	82   	1808   	1890
2555   	2452   	425   	47   	2083   	2130
2565   	2642   	594   	71   	1900   	1971
2583   	2270   	245   	26   	2312   	2338
2590   	2594   	536   	65   	1989   	2054
2592   	2654   	603   	74   	1915   	1989
2650   	2746   	691   	81   	1878   	1959
2652   	2603   	549   	66   	2037   	2103
2653   	2608   	550   	66   	2037   	2103
2657   	2666   	617   	75   	1965   	2040
2713   	2293   	255   	30   	2428   	2458
2717   	2482   	457   	51   	2209   	2260
2721   	2297   	256   	31   	2434   	2465
2723   	2623   	569   	69   	2085   	2154
2739   	2304   	259   	32   	2448   	2480
2770   	2634   	587   	69   	2114   	2183
2788   	2576   	527   	62   	2199   	2261
2802   	2794   	748   	84   	1970   	2054
2809   	2649   	597   	73   	2139   	2212
2810   	2191   	186   	14   	2610   	2624
2832   	2662   	608   	75   	2149   	2224
2838   	2737   	685   	80   	2073   	2153
2845   	2740   	687   	80   	2078   	2158
2847   	2925   	862   	247   	1738   	1985
2851   	2817   	768   	95   	1988   	2083
2856   	2531   	490   	57   	2309   	2366
2866   	2949   	871   	257   	1738   	1995
2866   	2599   	548   	64   	2254   	2318
2892   	2677   	621   	75   	2196   	2271
2917   	2290   	255   	29   	2633   	2662
2921   	2405   	363   	45   	2513   	2558
2932   	2411   	365   	45   	2522   	2567
2932   	2414   	365   	45   	2522   	2567
2940   	2415   	366   	45   	2529   	2574
2967   	2871   	811   	168   	1988   	2156
2969   	2875   	812   	171   	1986   	2157
2994   	2448   	424   	46   	2524   	2570
3010   	2580   	529   	64   	2417   	2481
3012   	2582   	529   	64   	2419   	2483
3014   	2309   	266   	32   	2716   	2748
3014   	2789   	747   	83   	2184   	2267
3021   	2188   	185   	14   	2822   	2836
3032   	2240   	222   	24   	2786   	2810
3039   	2463   	433   	50   	2556   	2606
3044   	2659   	606   	74   	2364   	2438
3045   	2524   	485   	56   	2504   	2560
3052   	2917   	851   	240   	1961   	2201
3055   	2360   	311   	40   	2704   	2744
3055   	2735   	685   	80   	2290   	2370
3067   	2815   	768   	94   	2205   	2299
3070   	2818   	768   	95   	2207   	2302
3072   	2743   	687   	81   	2304   	2385
3077   	2944   	868   	253   	1956   	2209
3091   	2667   	617   	75   	2399   	2474
3091   	2438   	400   	44   	2647   	2691
3093   	2671   	619   	75   	2399   	2474
3098   	2365   	318   	39   	2741   	2780
3113   	2328   	282   	37   	2794   	2831
3114   	2981   	904   	265   	1945   	2210
3117   	2542   	500   	57   	2560   	2617
3123   	2753   	703   	82   	2338   	2420
3135   	2992   	921   	267   	1947   	2214
3139   	2995   	923   	270   	1946   	2216
3165   	2233   	214   	19   	2932   	2951
3174   	2206   	197   	18   	2959   	2977
3176   	2866   	809   	163   	2204   	2367
3183   	2562   	523   	60   	2600   	2660
3187   	2773   	729   	83   	2375   	2458
3188   	2628   	584   	69   	2535   	2604
3197   	2778   	734   	82   	2381   	2463
3203   	2714   	657   	79   	2467   	2546
3204   	2570   	525   	62   	2617   	2679
3212   	2150   	154   	13   	3045   	3058
3232   	2588   	530   	65   	2637   	2702
3240   	2310   	272   	32   	2936   	2968
3259   	2520   	485   	56   	2718   	2774
3268   	2732   	684   	79   	2505   	2584
3280   	2819   	768   	96   	2416   	2512
3309   	2966   	892   	262   	2155   	2417
3319   	2373   	319   	41   	2959   	3000
3326   	2285   	254   	28   	3044   	3072
3335   	2224   	210   	19   	3106   	3125
3349   	2618   	564   	69   	2716   	2785
3372   	2862   	805   	160   	2407   	2567
3388   	2343   	296   	38   	3054   	3092
3393   	2508   	470   	54   	2869   	2923
3393   	2509   	470   	54   	2869   	2923
3401   	2633   	587   	69   	2745   	2814
3406   	2572   	525   	63   	2818   	2881
3416   	2305   	266   	32   	3118   	3150
3432   	2909   	835   	218   	2379   	2597
3434   	2456   	428   	48   	2958   	3006
3436   	2271   	245   	26   	3165   	3191
3436   	2313   	272   	32   	3132   	3164
3463   	2525   	488   	57   	2918   	2975
3475   	2820   	770   	99   	2606   	2705
3478   	2598   	548   	64   	2866   	2930
3479   	2745   	691   	80   	2708   	2788
3495   	2673   	619   	75   	2801   	2876
3517   	2475   	452   	49   	3016   	3065
3548   	2622   	569   	69   	2910   	2979
3565   	2861   	805   	159   	2601   	2760
3607   	2451   	425   	47   	3135   	3182
3607   	2453   	425   	47   	3135   	3182
3624   	2724   	672   	80   	2872   	2952
3647   	2217   	204   	19   	3424   	3443
3656   	2927   	862   	247   	2547   	2794
3666   	2824   	770   	100   	2796   	2896
3678   	2387   	357   	44   	3277   	3321
3679   	2195   	194   	15   	3470   	3485
3699   	2681   	626   	75   	2998   	3073
3700   	2683   	626   	75   	2999   	3074
3715   	2998   	923   	273   	2519   	2792
3723   	2619   	564   	69   	3090   	3159
3729   	2416   	366   	45   	3318   	3363
3732   	2444   	413   	46   	3273   	3319
3743   	2495   	463   	52   	3228   	3280
3746   	2303   	259   	32   	3455   	3487
3749   	2261   	238   	26   	3485   	3511
3750   	2426   	375   	46   	3329   	3375
3752   	2555   	522   	58   	3172   	3230
3758   	2870   	811   	168   	2779   	2947
3759   	2872   	811   	169   	2779   	2948
3783   	2454   	425   	47   	3311   	3358
3785   	2513   	473   	55   	3257   	3312
3797   	2645   	597   	72   	3128   	3200
3804   	2593   	536   	65   	3203   	3268
3811   	2356   	309   	40   	3462   	3502
3812   	2357   	309   	40   	3463   	3503
3818   	2216   	204   	19   	3595   	3614
3821   	2361   	311   	40   	3470   	3510
3852   	2284   	253   	28   	3571   	3599
3852   	2388   	357   	44   	3451   	3495
3893   	2292   	255   	30   	3608   	3638
3907   	2441   	413   	46   	3448   	3494
3921   	2702   	650   	76   	3195   	3271
3929   	2625   	584   	68   	3277   	3345
3944   	2888   	821   	190   	2933   	3123
3945   	2782   	738   	83   	3124   	3207
3949   	2890   	824   	193   	2932   	3125
3957   	2585   	530   	65   	3362   	3427
3964   	2458   	428   	49   	3487   	3536
3968   	2802   	755   	85   	3128   	3213
3969   	2650   	603   	73   	3293   	3366
3980   	2738   	685   	80   	3215   	3295
3986   	2924   	859   	245   	2882   	3127
3987   	2742   	687   	80   	3220   	3300
3989   	2934   	863   	252   	2874   	3126
4012   	2957   	884   	259   	2869   	3128
4027   	2396   	361   	43   	3623   	3666
4048   	2841   	791   	136   	3121   	3257
4069   	2338   	290   	38   	3741   	3779
4070   	2300   	259   	31   	3780   	3811
4101   	2574   	525   	63   	3513   	3576
4107   	2636   	593   	70   	3444   	3514
4118   	2721   	672   	80   	3366   	3446
4153   	2821   	770   	99   	3284   	3383
4177   	2678   	621   	75   	3481   	3556
4181   	2980   	904   	264   	3013   	3277
4199   	2756   	707   	82   	3410   	3492
4214   	2418   	366   	45   	3803   	3848
4233   	2876   	812   	172   	3249   	3421
4239   	2630   	587   	68   	3584   	3652
4254   	2899   	827   	204   	3223   	3427
4266   	2268   	239   	28   	3999   	4027
4270   	2906   	835   	218   	3217   	3435
4272   	2431   	385   	44   	3843   	3887
4275   	2803   	755   	85   	3435   	3520
4276   	2351   	308   	39   	3929   	3968
4296   	2322   	279   	35   	3982   	4017
4302   	2465   	443   	48   	3811   	3859
4313   	2283   	253   	27   	4033   	4060
4323   	2473   	447   	49   	3827   	3876
4325   	2976   	901   	264   	3160   	3424
4330   	2751   	703   	81   	3546   	3627
4335   	2687   	627   	77   	3631   	3708
4347   	2761   	708   	83   	3556   	3639
4359   	2554   	513   	59   	3787   	3846
4372   	2236   	216   	19   	4137   	4156
4384   	2775   	734   	82   	3568   	3650
4405   	2587   	530   	65   	3810   	3875
4417   	2806   	759   	86   	3572   	3658
4418   	2656   	606   	74   	3738   	3812
4450   	2674   	619   	76   	3755   	3831
4456   	2830   	779   	113   	3564   	3677
4481   	2999   	923   	274   	3284   	3558
4482   	2330   	285   	37   	4160   	4197
4502   	2336   	290   	37   	4175   	4212
4504   	2502   	465   	53   	3986   	4039
4510   	2559   	522   	59   	3929   	3988
4513   	2626   	584   	68   	3861   	3929
4515   	2263   	238   	26   	4251   	4277
4525   	2886   	821   	189   	3515   	3704
4526   	2887   	821   	189   	3516   	3705
4528   	2889   	821   	190   	3517   	3707
4531   	2449   	424   	46   	4061   	4107
4532   	2894   	824   	195   	3513   	3708
4538   	2584   	529   	65   	3944   	4009
4552   	2517   	484   	56   	4012   	4068
4578   	2466   	443   	49   	4086   	4135
4583   	2963   	889   	262   	3432   	3694
4591   	2370   	319   	41   	4231   	4272
4621   	2845   	795   	145   	3681   	3826
4622   	2294   	255   	30   	4337   	4367
4626   	2487   	460   	52   	4114   	4166
4628   	2489   	460   	52   	4116   	4168
4647   	2882   	819   	184   	3644   	3828
4658   	2904   	828   	207   	3623   	3830
4669   	2272   	245   	27   	4397   	4424
4674   	2728   	681   	80   	3913   	3993
4682   	2739   	685   	80   	3917   	3997
4689   	2931   	863   	250   	3576   	3826
4696   	2942   	868   	253   	3575   	3828
4703   	2827   	772   	105   	3826   	3931
4709   	2958   	884   	260   	3565   	3825
4730   	2478   	452   	50   	4228   	4278
4745   	2547   	506   	58   	4181   	4239
4749   	2695   	636   	76   	4037   	4113
4765   	2557   	522   	59   	4184   	4243
4767   	2342   	296   	38   	4433   	4471
4786   	2895   	827   	202   	3757   	3959
4790   	2791   	748   	83   	3959   	4042
4792   	2799   	750   	85   	3957   	4042
4795   	2317   	275   	32   	4488   	4520
4798   	2807   	759   	86   	3953   	4039
4808   	2814   	766   	91   	3951   	4042
4825   	2749   	691   	81   	4053   	4134
4837   	2394   	359   	43   	4435   	4478
4845   	2477   	452   	50   	4343   	4393
4847   	2403   	362   	45   	4440   	4485
4852   	2993   	921   	267   	3664   	3931
4860   	2480   	457   	51   	4352   	4403
4866   	2765   	717   	83   	4066   	4149
4872   	2858   	804   	158   	3910   	4068
4873   	2864   	805   	160   	3908   	4068
4876   	2869   	809   	164   	3903   	4067
4892   	2711   	657   	78   	4157   	4235
4895   	2573   	525   	63   	4307   	4370
4902   	2896   	827   	203   	3872   	4075
4904   	2901   	828   	207   	3869   	4076
4905   	2643   	594   	71   	4240   	4311
4908   	2455   	428   	48   	4432   	4480
4909   	2795   	750   	84   	4075   	4159
4910   	2430   	385   	44   	4481   	4525
4920   	2914   	849   	239   	3832   	4071
4931   	2938   	867   	253   	3811   	4064
4933   	2822   	770   	100   	4063   	4163
4949   	2970   	893   	263   	3793   	4056
4950   	2471   	447   	49   	4454   	4503
4991   	2341   	296   	38   	4657   	4695
5007   	2583   	529   	65   	4413   	4478
5026   	2364   	311   	41   	4674   	4715
5029   	2928   	862   	247   	3920   	4167
5049   	2967   	892   	262   	3895   	4157
5049   	2369   	318   	40   	4691   	4731
5050   	2972   	893   	264   	3893   	4157
5054   	2325   	282   	36   	4736   	4772
5059   	2985   	914   	266   	3879   	4145
5063   	2990   	921   	266   	3876   	4142
5066   	2997   	923   	273   	3870   	4143
5069   	2843   	791   	136   	4142   	4278
5075   	2696   	636   	77   	4362   	4439
5087   	2558   	522   	59   	4506   	4565
5089   	2563   	523   	61   	4505   	4566
5092   	2566   	524   	62   	4506   	4568
5099   	2780   	738   	83   	4278   	4361
5103   	2893   	824   	194   	4085   	4279
5108   	2792   	748   	84   	4276   	4360
5110   	2647   	597   	73   	4440   	4513
5117   	2726   	681   	80   	4356   	4436
5130   	2948   	871   	257   	4002   	4259
5137   	2437   	400   	43   	4694   	4737
5140   	2672   	619   	75   	4446   	4521
5141   	2366   	318   	39   	4784   	4823
5153   	2610   	562   	66   	4525   	4591
5167   	2699   	636   	77   	4454   	4531
5169   	2852   	799   	150   	4220   	4370
5183   	2631   	587   	68   	4528   	4596
5190   	2713   	657   	78   	4455   	4533
5193   	2716   	659   	81   	4453   	4534
5202   	2590   	536   	65   	4601   	4666
5203   	2651   	603   	74   	4526   	4600
5203   	2460   	433   	50   	4720   	4770
5213   	2922   	859   	244   	4110   	4354
5214   	2923   	859   	244   	4111   	4355
5233   	2537   	495   	58   	4680   	4738
5239   	2540   	500   	57   	4682   	4739
5262   	2377   	327   	41   	4894   	4935
5265   	2868   	809   	163   	4293   	4456
5269   	2344   	296   	38   	4935   	4973
5272   	2709   	656   	78   	4538   	4616
5277   	2784   	738   	84   	4455   	4539
5279   	2512   	473   	55   	4751   	4806
5280   	2641   	594   	71   	4615   	4686
5317   	2750   	703   	81   	4533   	4614
5323   	2614   	562   	67   	4694   	4761
5331   	2615   	564   	67   	4700   	4767
5333   	2691   	635   	76   	4622   	4698
5354   	2891   	824   	194   	4336   	4530
5363   	2663   	608   	75   	4680   	4755
5364   	2919   	851   	240   	4273   	4513
5373   	2947   	871   	257   	4245   	4502
5379   	2606   	550   	66   	4763   	4829
5383   	2832   	779   	114   	4490   	4604
5383   	2472   	447   	49   	4887   	4936
5387   	2684   	626   	75   	4686   	4761
5392   	2611   	562   	66   	4764   	4830
5414   	2776   	734   	82   	4598   	4680
5428   	2462   	433   	50   	4945   	4995
5434   	2733   	684   	79   	4671   	4750
5446   	2952   	875   	257   	4314   	4571
5451   	2535   	495   	57   	4899   	4956
5455   	2982   	904   	265   	4286   	4551
5459   	2986   	914   	267   	4278   	4545
5465   	2840   	791   	135   	4539   	4674
5473   	2484   	457   	51   	4965   	5016
5474   	2854   	799   	151   	4524   	4675
5479   	2504   	465   	53   	4961   	5014
5490   	2510   	473   	54   	4963   	5017
5491   	2790   	748   	83   	4660   	4743
5498   	2911   	849   	237   	4412   	4649
5500   	2810   	766   	89   	4645   	4734
5525   	2612   	562   	67   	4896   	4963
5530   	2755   	707   	82   	4741   	4823
5531   	2844   	791   	137   	4603   	4740
5534   	2481   	457   	51   	5026   	5077
5537   	2485   	460   	51   	5026   	5077
5542   	2855   	804   	157   	4581   	4738
5550   	2705   	656   	77   	4817   	4894
5553   	2884   	819   	186   	4548   	4734
5557   	2516   	484   	55   	5018   	5073
5559   	2912   	849   	238   	4472   	4710
5573   	2748   	691   	81   	4801   	4882
5577   	2390   	359   	43   	5175   	5218
5580   	2476   	452   	50   	5078   	5128
5581   	2479   	452   	50   	5079   	5129
5587   	2483   	457   	51   	5079   	5130
5593   	2556   	522   	58   	5013   	5071
5596   	2629   	584   	69   	4943   	5012
5596   	2505   	470   	53   	5073   	5126
5598   	2880   	819   	183   	4596   	4779
5601   	2433   	385   	45   	5171   	5216
5613   	2941   	868   	253   	4492   	4745
5622   	2965   	892   	262   	4468   	4730
5625   	2397   	361   	43   	5221   	5264
5633   	2617   	564   	68   	5001   	5069
5637   	2422   	367   	47   	5223   	5270
5643   	2777   	734   	82   	4827   	4909
5648   	2718   	659   	81   	4908   	4989
5650   	2798   	750   	84   	4816   	4900
5654   	2811   	766   	89   	4799   	4888
5673   	2616   	564   	68   	5041   	5109
5693   	2596   	548   	64   	5081   	5145
5694   	2946   	871   	256   	4567   	4823
5695   	2601   	549   	66   	5080   	5146
5696   	2953   	875   	258   	4563   	4821
5697   	2826   	772   	104   	4821   	4925
5701   	2962   	889   	261   	4551   	4812
5707   	2752   	703   	82   	4922   	5004
5718   	2700   	650   	76   	4992   	5068
5722   	2878   	812   	173   	4737   	4910
5724   	2571   	525   	62   	5137   	5199
5725   	2638   	593   	70   	5062   	5132
5725   	2900   	828   	207   	4690   	4897
5732   	2921   	859   	244   	4629   	4873
5736   	2534   	490   	57   	5189   	5246
5739   	2959   	884   	260   	4595   	4855
5743   	2688   	627   	77   	5039   	5116
5750   	2860   	805   	159   	4786   	4945
5755   	2883   	819   	185   	4751   	4936
5763   	2664   	608   	75   	5080   	5155
5764   	2929   	862   	250   	4652   	4902
5766   	2744   	687   	81   	4998   	5079
5769   	2955   	884   	258   	4627   	4885
5776   	2996   	923   	271   	4582   	4853
5780   	2694   	635   	76   	5069   	5145
5781   	2853   	799   	150   	4832   	4982
5781   	2767   	717   	83   	4981   	5064
5782   	2493   	461   	52   	5269   	5321
5782   	2857   	804   	157   	4821   	4978
5784   	2704   	650   	76   	5058   	5134
5787   	2800   	755   	85   	4947   	5032
5789   	2380   	350   	40   	5399   	5439
5790   	2913   	849   	239   	4702   	4941
5792   	2734   	684   	79   	5029   	5108
5797   	2679   	621   	76   	5100   	5176
5807   	2546   	506   	57   	5244   	5301
5807   	2621   	569   	68   	5170   	5238
5811   	2632   	587   	69   	5155   	5224
5812   	2783   	738   	84   	4990   	5074
5817   	2915   	851   	239   	4727   	4966
5818   	2930   	863   	250   	4705   	4955
5820   	2937   	867   	252   	4701   	4953
5827   	2685   	627   	76   	5124   	5200
5827   	2991   	921   	267   	4639   	4906
5828   	2836   	789   	132   	4907   	5039
5832   	2768   	717   	83   	5032   	5115
5835   	2707   	656   	77   	5102   	5179
5835   	2793   	748   	84   	5003   	5087
5836   	2797   	750   	84   	5002   	5086
5838   	2727   	681   	80   	5077   	5157
5845   	2764   	708   	83   	5054   	5137
5851   	2950   	875   	257   	4719   	4976
5854   	2974   	893   	264   	4697   	4961
5857   	2838   	789   	133   	4935   	5068
5858   	2873   	811   	170   	4877   	5047
5859   	2877   	812   	172   	4875   	5047
5861   	2812   	766   	89   	5006   	5095
5866   	2842   	791   	136   	4939   	5075
5867   	2805   	759   	85   	5023   	5108
5871   	2994   	921   	268   	4682   	4950
5872   	2881   	819   	184   	4869   	5053
5877   	2936   	867   	252   	4758   	5010
5877   	2829   	772   	105   	5000   	5105
5878   	2956   	884   	259   	4735   	4994
5879   	2984   	904   	265   	4710   	4975
5885   	2933   	863   	251   	4771   	5022
5886   	2828   	772   	105   	5009   	5114
5887   	2865   	809   	163   	4915   	5078
5890   	2835   	789   	132   	4969   	5101
5890   	2808   	759   	86   	5045   	5131
5895   	2975   	901   	263   	4731   	4994
5899   	2979   	901   	264   	4734   	4998
5899   	331   	349   	96   	5454   	5550
5899   	136   	178   	96   	5625   	5721
5899   	929   	986   	219   	4694   	4913
5899   	971   	1033   	248   	4618   	4866
5899   	434   	451   	130   	5318   	5448
5899   	668   	708   	190   	5001   	5191
5899   	64   	61   	19   	5819   	5838
5899   	282   	300   	85   	5514   	5599
5899   	930   	986   	220   	4693   	4913
5899   	74   	74   	20   	5805   	5825
5899   	157   	186   	44   	5669   	5713
5899   	860   	908   	184   	4807   	4991
5899   	173   	192   	51   	5656   	5707
5899   	799   	837   	176   	4886   	5062
5899   	17   	27   	2   	5870   	5872
5899   	247   	254   	75   	5570   	5645
5899   	175   	192   	52   	5655   	5707
5899   	115   	155   	30   	5714   	5744
5899   	424   	439   	126   	5334   	5460
5899   	187   	217   	59   	5623   	5682
5899   	149   	181   	42   	5676   	5718
5899   	534   	529   	160   	5210   	5370
5899   	811   	843   	177   	4879   	5056
5899   	159   	186   	45   	5668   	5713
5899   	356   	368   	103   	5428   	5531
5899   	488   	498   	145   	5256   	5401
5899   	651   	696   	191   	5012   	5203
5899   	743   	782   	181   	4936   	5117
5899   	237   	247   	72   	5580   	5652
5899   	614   	648   	376   	4875   	5251
5899   	564   	557   	171   	5171   	5342
5899   	332   	349   	96   	5454   	5550
5899   	63   	61   	18   	5820   	5838
5899   	502   	513   	151   	5235   	5386
5899   	982   	1043   	255   	4601   	4856
5899   	666   	708   	189   	5002   	5191
5899   	476   	486   	141   	5272   	5413
5899   	645   	676   	195   	5028   	5223
5899   	308   	330   	91   	5478   	5569
5899   	293   	311   	86   	5502   	5588
5899   	931   	987   	221   	4691   	4912
5899   	928   	986   	218   	4695   	4913
5899   	229   	239   	69   	5591   	5660
5899   	172   	192   	51   	5656   	5707
5899   	104   	140   	27   	5732   	5759
5899   	774   	812   	178   	4909   	5087
5899   	824   	849   	179   	4871   	5050
5899   	218   	230   	66   	5603   	5669
5899   	710   	733   	195   	4971   	5166
5899   	677   	720   	191   	4988   	5179
5899   	764   	809   	177   	4913   	5090
5899   	870   	921   	187   	4791   	4978
5899   	713   	743   	191   	4965   	5156
5899   	759   	808   	176   	4915   	5091
5899   	768   	811   	177   	4911   	5088
5899   	186   	217   	58   	5624   	5682
5899   	926   	986   	217   	4696   	4913
5899   	848   	901   	185   	4813   	4998
5899   	487   	498   	144   	5257   	5401
5899   	355   	367   	103   	5429   	5532
5899   	232   	244   	70   	5585   	5655
5899   	491   	507   	145   	5247   	5392
5899   	315   	338   	90   	5471   	5561
5899   	490   	498   	146   	5255   	5401
5899   	541   	541   	161   	5197   	5358
5899   	561   	557   	169   	5173   	5342
5899   	26   	38   	7   	5854   	5861
5899   	748   	786   	180   	4933   	5113
5899   	586   	579   	181   	5139   	5320
5899   	649   	682   	194   	5023   	5217
5899   	134   	176   	36   	5687   	5723
5899   	494   	507   	146   	5246   	5392
5899   	23   	34   	4   	5861   	5865
5899   	90   	88   	25   	5786   	5811
5899   	363   	369   	107   	5423   	5530
5899   	706   	733   	194   	4972   	5166
5899   	255   	259   	78   	5562   	5640
5899   	286   	301   	86   	5512   	5598
5899   	188   	217   	59   	5623   	5682
5899   	167   	191   	48   	5660   	5708
5899   	87   	88   	25   	5786   	5811
5899   	779   	818   	179   	4902   	5081
5899   	862   	919   	182   	4798   	4980
5899   	867   	921   	185   	4793   	4978
5899   	831   	881   	180   	4838   	5018
5899   	195   	218   	62   	5619   	5681
5899   	925   	984   	215   	4700   	4915
5899   	326   	346   	95   	5458   	5553
5899   	981   	1043   	255   	4601   	4856
5899   	71   	74   	18   	5807   	5825
5899   	47   	43   	11   	5845   	5856
5899   	102   	140   	27   	5732   	5759
5899   	630   	662   	199   	5038   	5237
5899   	371   	394   	114   	5391   	5505
5899   	606   	642   	192   	5065   	5257
5899   	290   	301   	87   	5511   	5598
5899   	141   	180   	39   	5680   	5719
5899   	223   	232   	67   	5600   	5667
5899   	724   	750   	191   	4958   	5149
5899   	944   	993   	226   	4680   	4906
5899   	626   	662   	198   	5039   	5237
5899   	501   	513   	150   	5236   	5386
5899   	225   	232   	68   	5599   	5667
5899   	281   	300   	84   	5515   	5599
5899   	796   	837   	175   	4887   	5062
5899   	900   	942   	199   	4758   	4957
5899   	170   	191   	49   	5659   	5708
5899   	192   	218   	61   	5620   	5681
5899   	129   	173   	36   	5690   	5726
5899   	93   	124   	25   	5750   	5775
5899   	79   	79   	20   	5800   	5820
5899   	578   	577   	179   	5143   	5322
5899   	843   	897   	184   	4818   	5002
5899   	28   	38   	7   	5854   	5861
5899   	101   	140   	26   	5733   	5759
5899   	130   	173   	36   	5690   	5726
5899   	340   	351   	100   	5448   	5548
5899   	45   	42   	10   	5847   	5857
5899   	482   	495   	143   	5261   	5404
5899   	252   	259   	77   	5563   	5640
5899   	370   	380   	110   	5409   	5519
5899   	527   	526   	158   	5215   	5373
5899   	474   	484   	140   	5275   	5415
5899   	359   	368   	105   	5426   	5531
5899   	367   	380   	109   	5410   	5519
5899   	318   	339   	94   	5466   	5560
5899   	455   	466   	137   	5296   	5433
5899   	587   	579   	182   	5138   	5320
5899   	311   	338   	90   	5471   	5561
5899   	401   	425   	122   	5352   	5474
5899   	994   	1050   	264   	4585   	4849
5899   	594   	607   	186   	5106   	5292
5899   	663   	702   	190   	5007   	5197
5899   	73   	74   	19   	5806   	5825
5899   	103   	140   	27   	5732   	5759
5899   	827   	875   	179   	4845   	5024
5899   	399   	424   	121   	5354   	5475
5899   	531   	529   	159   	5211   	5370
5899   	695   	730   	192   	4977   	5169
5899   	60   	52   	16   	5831   	5847
5899   	731   	760   	187   	4952   	5139
5899   	520   	519   	159   	5221   	5380
5899   	119   	157   	32   	5710   	5742
5899   	185   	216   	58   	5625   	5683
5899   	81   	81   	22   	5796   	5818
5899   	48   	43   	11   	5845   	5856
5899   	198   	223   	63   	5613   	5676
5899   	76   	79   	19   	5801   	5820
5899   	386   	416   	116   	5367   	5483
5899   	95   	124   	26   	5749   	5775
5899   	345   	359   	101   	5439   	5540
5899   	55   	51   	13   	5835   	5848
5899   	765   	809   	177   	4913   	5090
5899   	463   	475   	139   	5285   	5424
5899   	180   	197   	53   	5649   	5702
5899   	292   	311   	86   	5502   	5588
5899   	264   	284   	80   	5535   	5615
5899   	42   	42   	10   	5847   	5857
5899   	475   	484   	140   	5275   	5415
5899   	411   	431   	124   	5344   	5468
5899   	395   	419   	118   	5362   	5480
5899   	82   	81   	22   	5796   	5818
5899   	49   	43   	11   	5845   	5856
5899   	127   	173   	35   	5691   	5726
5899   	329   	346   	96   	5457   	5553
5899   	919   	983   	212   	4704   	4916
5899   	788   	825   	177   	4897   	5074
5899   	46   	43   	10   	5846   	5856
5899   	174   	192   	52   	5655   	5707
5899   	10   	21   	1   	5877   	5878
5899   	662   	702   	189   	5008   	5197
5899   	58   	52   	15   	5832   	5847
5899   	25   	34   	5   	5860   	5865
5899   	162   	189   	46   	5664   	5710
5899   	62   	61   	18   	5820   	5838
5899   	664   	702   	190   	5007   	5197
5899   	50   	43   	12   	5844   	5856
5899   	351   	367   	102   	5430   	5532
5899   	224   	232   	67   	5600   	5667
5899   	220   	230   	67   	5602   	5669
5899   	239   	247   	73   	5579   	5652
5899   	246   	254   	75   	5570   	5645
5899   	9   	21   	0   	5878   	5878
5899   	822   	849   	178   	4872   	5050
5899   	131   	176   	35   	5688   	5723
5899   	941   	993   	4   	4902   	4906
5899   	945   	993   	0   	4906   	4906
5899   	939   	989   	0   	4910   	4910
5899   	934   	987   	0   	4912   	4912
5899   	979   	1034   	0   	4865   	4865
5899   	977   	1034   	7   	4858   	4865
5899   	997   	1061   	0   	4838   	4838
5899   	974   	1033   	0   	4866   	4866
5899   	967   	1031   	0   	4868   	4868
5899   	964   	1021   	0   	4878   	4878
5899   	927   	986   	0   	4913   	4913
5899   	918   	983   	0   	4916   	4916
5899   	911   	981   	0   	4918   	4918
5899   	877   	931   	39   	4929   	4968
5899   	872   	924   	4   	4971   	4975
5899   	868   	921   	0   	4978   	4978
5899   	836   	894   	3   	5002   	5005
5899   	798   	837   	0   	5062   	5062
5899   	794   	829   	6   	5064   	5070
5899   	791   	829   	445   	4625   	5070
5899   	789   	825   	0   	5074   	5074
5899   	787   	825   	457   	4617   	5074
5899   	786   	825   	470   	4604   	5074
5899   	785   	821   	0   	5078   	5078
5899   	773   	812   	0   	5087   	5087
5899   	767   	811   	0   	5088   	5088
5899   	763   	809   	0   	5090   	5090
5899   	722   	750   	0   	5149   	5149
5899   	712   	743   	716   	4440   	5156
5899   	700   	731   	0   	5168   	5168
5899   	687   	727   	0   	5172   	5172
