////////////////// KILLED UNITS DATA /////////////////////

Td  	ID  	Tj  	Df  	Dd  	Db
367   	2084   	68   	11   	288   	299
367   	2089   	70   	12   	285   	297
371   	2168   	166   	16   	189   	205
372   	2256   	236   	1   	135   	136
381   	2211   	200   	18   	163   	181
381   	2212   	200   	19   	162   	181
382   	2190   	186   	14   	182   	196
383   	2111   	106   	10   	267   	277
385   	2125   	117   	12   	256   	268
394   	2347   	307   	0   	87   	87
394   	2162   	163   	14   	217   	231
399   	2352   	308   	4   	87   	91
401   	2172   	167   	5   	229   	234
403   	336   	351   	0   	52   	52
403   	350   	364   	0   	39   	39
403   	368   	380   	0   	23   	23
404   	2273   	245   	12   	147   	159
404   	2280   	253   	2   	149   	151
410   	2339   	290   	10   	110   	120
414   	2204   	195   	17   	202   	219
415   	377   	403   	12   	0   	12
418   	2165   	166   	16   	236   	252
418   	2169   	166   	16   	236   	252
419   	2255   	236   	25   	158   	183
423   	2434   	385   	3   	35   	38
424   	2362   	311   	2   	111   	113
426   	2189   	185   	14   	227   	241
426   	2175   	169   	16   	241   	257
434   	2246   	223   	4   	207   	211
434   	2459   	428   	0   	6   	6
434   	2432   	385   	3   	46   	49
437   	2182   	171   	17   	249   	266
439   	2278   	252   	0   	187   	187
439   	2118   	107   	10   	322   	332
439   	2141   	133   	12   	294   	306
440   	2439   	400   	2   	38   	40
441   	2250   	228   	23   	190   	213
447   	2348   	307   	10   	130   	140
448   	2404   	362   	16   	70   	86
459   	385   	405   	0   	54   	54
459   	384   	405   	10   	44   	54
459   	442   	459   	0   	0   	0
460   	2408   	363   	2   	95   	97
461   	2203   	195   	5   	261   	266
461   	2409   	363   	3   	95   	98
461   	2072   	60   	8   	393   	401
462   	2329   	282   	2   	178   	180
462   	2315   	275   	5   	182   	187
464   	2368   	318   	1   	145   	146
465   	2238   	216   	20   	229   	249
466   	2132   	127   	12   	327   	339
466   	2260   	238   	25   	203   	228
471   	2152   	154   	13   	304   	317
472   	2402   	362   	3   	107   	110
474   	2219   	204   	1   	269   	270
475   	2210   	200   	18   	257   	275
477   	423   	439   	0   	38   	38
477   	427   	447   	0   	30   	30
477   	2425   	375   	7   	95   	102
481   	2298   	256   	5   	220   	225
481   	2316   	275   	32   	174   	206
482   	2469   	443   	4   	35   	39
482   	2367   	318   	4   	160   	164
484   	2079   	64   	8   	412   	420
487   	2395   	361   	4   	122   	126
489   	2251   	228   	23   	238   	261
489   	478   	486   	0   	3   	3
495   	2198   	194   	15   	286   	301
497   	2326   	282   	36   	179   	215
499   	467   	477   	22   	0   	22
502   	2359   	309   	2   	191   	193
504   	2327   	282   	0   	222   	222
507   	493   	507   	0   	0   	0
509   	499   	509   	0   	0   	0
513   	2375   	327   	40   	146   	186
526   	464   	475   	0   	51   	51
526   	477   	486   	3   	37   	40
526   	469   	477   	0   	49   	49
526   	497   	509   	0   	17   	17
526   	526   	526   	0   	0   	0
529   	2461   	433   	10   	86   	96
530   	2267   	239   	27   	264   	291
530   	2176   	169   	16   	345   	361
533   	2312   	272   	4   	257   	261
534   	2543   	500   	3   	31   	34
540   	2215   	204   	18   	318   	336
541   	2503   	465   	5   	71   	76
543   	2247   	223   	24   	296   	320
544   	2363   	311   	41   	192   	233
544   	2592   	536   	0   	8   	8
547   	524   	520   	0   	27   	27
547   	554   	547   	0   	0   	0
547   	2252   	228   	23   	296   	319
549   	2450   	425   	6   	118   	124
558   	2609   	550   	0   	8   	8
558   	2605   	550   	0   	8   	8
559   	2222   	210   	19   	330   	349
561   	2199   	194   	16   	351   	367
566   	2600   	549   	0   	17   	17
567   	2604   	549   	0   	18   	18
573   	2423   	367   	47   	159   	206
574   	2376   	327   	41   	206   	247
574   	2378   	327   	41   	206   	247
576   	2234   	214   	19   	343   	362
579   	2171   	167   	16   	396   	412
580   	2549   	506   	3   	71   	74
580   	2624   	569   	0   	11   	11
582   	2564   	523   	22   	37   	59
583   	2498   	463   	2   	118   	120
585   	2586   	530   	3   	52   	55
589   	2136   	128   	12   	449   	461
590   	2544   	500   	8   	82   	90
592   	2436   	400   	5   	187   	192
596   	2177   	169   	16   	411   	427
600   	2127   	117   	13   	470   	483
611   	2324   	279   	35   	297   	332
611   	2565   	524   	18   	69   	87
614   	2607   	550   	0   	64   	64
620   	2548   	506   	10   	104   	114
627   	2578   	527   	1   	99   	100
633   	2676   	621   	0   	12   	12
646   	2302   	259   	32   	355   	387
648   	2257   	236   	26   	386   	412
665   	2550   	513   	3   	149   	152
668   	2500   	465   	7   	196   	203
669   	2693   	635   	3   	31   	34
671   	2515   	484   	0   	187   	187
671   	2193   	186   	15   	470   	485
676   	535   	529   	0   	147   	147
676   	540   	536   	0   	140   	140
676   	560   	552   	0   	124   	124
676   	589   	579   	0   	97   	97
676   	583   	578   	0   	98   	98
676   	574   	575   	0   	101   	101
676   	601   	624   	0   	52   	52
676   	599   	615   	0   	61   	61
676   	598   	615   	20   	41   	61
676   	611   	648   	0   	28   	28
676   	624   	659   	0   	17   	17
676   	33   	40   	8   	628   	636
676   	35   	40   	9   	627   	636
676   	644   	676   	0   	0   	0
676   	2242   	222   	24   	430   	454
678   	2529   	488   	2   	188   	190
681   	2358   	309   	40   	332   	372
682   	646   	682   	0   	0   	0
684   	2591   	536   	3   	145   	148
685   	2184   	171   	17   	497   	514
687   	2729   	681   	0   	6   	6
696   	2725   	681   	0   	15   	15
697   	2391   	359   	43   	295   	338
701   	617   	657   	0   	44   	44
701   	656   	701   	0   	0   	0
702   	661   	702   	0   	0   	0
706   	2620   	569   	10   	127   	137
707   	2333   	285   	37   	385   	422
714   	2299   	256   	31   	427   	458
718   	2644   	594   	2   	122   	124
722   	2698   	636   	11   	75   	86
723   	2661   	608   	30   	85   	115
724   	2723   	672   	10   	42   	52
727   	2689   	627   	1   	99   	100
728   	2262   	238   	26   	464   	490
728   	2340   	296   	37   	395   	432
728   	2760   	708   	5   	15   	20
730   	635   	671   	0   	59   	59
730   	641   	676   	2   	52   	54
730   	631   	671   	25   	34   	59
730   	608   	642   	0   	88   	88
731   	2660   	608   	3   	120   	123
734   	2446   	424   	46   	264   	310
735   	2613   	562   	22   	151   	173
737   	2670   	619   	16   	102   	118
741   	2138   	128   	12   	601   	613
746   	2308   	266   	32   	448   	480
747   	2266   	239   	27   	481   	508
749   	691   	730   	19   	0   	19
750   	721   	750   	0   	0   	0
751   	2457   	428   	48   	275   	323
758   	2354   	308   	39   	411   	450
769   	2323   	279   	35   	455   	490
771   	2279   	252   	28   	491   	519
771   	2281   	253   	27   	491   	518
775   	2757   	707   	8   	60   	68
777   	2652   	603   	0   	174   	174
784   	2730   	684   	3   	97   	100
785   	2653   	603   	1   	181   	182
786   	2833   	779   	0   	7   	7
787   	2289   	254   	28   	505   	533
787   	2816   	768   	0   	19   	19
788   	2225   	211   	19   	558   	577
791   	2772   	729   	0   	62   	62
794   	2825   	772   	2   	20   	22
795   	2226   	211   	19   	565   	584
795   	2228   	211   	20   	564   	584
798   	2442   	413   	46   	339   	385
798   	2741   	687   	2   	109   	111
807   	2235   	216   	19   	572   	591
808   	2239   	216   	20   	572   	592
808   	2207   	197   	19   	592   	611
824   	2185   	185   	14   	625   	639
825   	2879   	812   	6   	7   	13
832   	38   	41   	9   	782   	791
839   	2241   	222   	24   	593   	617
843   	2353   	308   	39   	496   	535
843   	2867   	809   	0   	34   	34
852   	2218   	204   	20   	628   	648
852   	2850   	799   	0   	53   	53
860   	2321   	279   	35   	546   	581
873   	2164   	163   	14   	696   	710
874   	2834   	779   	8   	87   	95
886   	2385   	357   	43   	486   	529
886   	2951   	875   	0   	11   	11
890   	2954   	875   	0   	15   	15
894   	840   	894   	0   	0   	0
898   	2393   	359   	43   	496   	539
900   	2220   	210   	19   	671   	690
902   	2372   	319   	41   	542   	583
904   	2846   	795   	1   	108   	109
909   	2823   	770   	6   	133   	139
910   	2848   	795   	14   	101   	115
911   	2978   	901   	1   	9   	10
915   	2973   	893   	0   	22   	22
916   	2977   	901   	1   	14   	15
925   	2968   	892   	0   	33   	33
934   	714   	743   	0   	191   	191
934   	729   	751   	0   	183   	183
934   	740   	761   	0   	173   	173
934   	738   	761   	5   	168   	173
934   	726   	751   	9   	174   	183
934   	754   	795   	0   	139   	139
934   	746   	786   	0   	148   	148
934   	744   	782   	0   	152   	152
934   	741   	782   	22   	130   	152
934   	795   	829   	0   	105   	105
934   	819   	844   	0   	90   	90
934   	823   	849   	0   	85   	85
934   	812   	843   	0   	91   	91
934   	808   	840   	0   	94   	94
934   	806   	840   	33   	61   	94
934   	851   	902   	0   	32   	32
934   	847   	901   	0   	33   	33
934   	839   	894   	0   	40   	40
934   	883   	934   	0   	0   	0
934   	2837   	789   	0   	145   	145
936   	887   	936   	0   	0   	0
939   	2763   	708   	9   	222   	231
940   	2926   	862   	3   	75   	78
946   	2902   	828   	6   	112   	118
951   	2892   	824   	9   	118   	127
952   	2785   	747   	10   	195   	205
966   	2301   	259   	31   	676   	707
968   	2762   	708   	0   	260   	260
973   	2939   	867   	0   	106   	106
976   	2903   	828   	1   	147   	148
981   	2856   	804   	0   	177   	177
981   	2847   	795   	0   	186   	186
984   	2804   	755   	0   	229   	229
985   	2988   	914   	2   	69   	71
986   	2874   	811   	3   	172   	175
989   	2731   	684   	3   	302   	305
998   	2813   	766   	3   	229   	232
1000   	2898   	827   	44   	129   	173
1002   	2905   	835   	22   	145   	167
1006   	875   	924   	0   	82   	82
1006   	895   	938   	0   	68   	68
1006   	890   	936   	0   	70   	70
1006   	880   	931   	0   	75   	75
1006   	888   	936   	19   	51   	70
1006   	908   	971   	0   	35   	35
1006   	878   	931   	0   	75   	75
1006   	951   	1006   	0   	0   	0
1029   	2514   	473   	55   	501   	556
1031   	2908   	835   	7   	189   	196
1032   	2964   	889   	15   	128   	143
1034   	2796   	750   	0   	284   	284
1035   	2969   	892   	0   	143   	143
1039   	2787   	747   	0   	292   	292
1041   	2786   	747   	2   	292   	294
1042   	2759   	707   	0   	335   	335
1043   	2774   	729   	2   	312   	314
1046   	2754   	703   	0   	343   	343
1048   	2720   	672   	0   	376   	376
1050   	2960   	889   	14   	147   	161
1061   	2897   	827   	9   	225   	234
1061   	2849   	795   	8   	258   	266
1067   	2346   	307   	38   	722   	760
1068   	2243   	222   	24   	822   	846
1069   	2350   	308   	38   	723   	761
1076   	2907   	835   	3   	238   	241
1077   	2518   	484   	56   	537   	593
1078   	2245   	223   	24   	831   	855
1078   	2715   	659   	0   	419   	419
1080   	2987   	914   	4   	162   	166
1081   	2983   	904   	1   	176   	177
1083   	2859   	804   	8   	271   	279
1086   	2381   	350   	40   	696   	736
1088   	2384   	350   	40   	698   	738
1088   	2989   	914   	17   	157   	174
1088   	2932   	863   	3   	222   	225
1089   	2971   	893   	1   	195   	196
1090   	2910   	849   	7   	234   	241
1092   	2916   	851   	6   	235   	241
1093   	2918   	851   	5   	237   	242
1097   	2961   	889   	8   	200   	208
1104   	2706   	656   	0   	448   	448
1130   	2282   	253   	27   	850   	877
1140   	2435   	400   	43   	697   	740
1150   	2701   	650   	0   	500   	500
1158   	2692   	635   	0   	523   	523
1170   	2398   	361   	44   	765   	809
1194   	2675   	621   	0   	573   	573
1226   	2668   	617   	0   	609   	609
1233   	2421   	367   	47   	819   	866
1248   	2655   	606   	621   	21   	642
1249   	2658   	606   	1   	642   	643
1252   	2545   	506   	0   	746   	746
1265   	2538   	495   	1   	769   	770
1273   	2639   	593   	6   	674   	680
1277   	2567   	524   	62   	691   	753
1295   	2530   	490   	1   	804   	805
1322   	2507   	470   	1   	851   	852
1353   	2519   	484   	56   	813   	869
1377   	2522   	485   	789   	103   	892
1389   	2494   	461   	0   	928   	928
1433   	2467   	443   	0   	990   	990
1440   	2491   	461   	918   	61   	979
1444   	2221   	210   	19   	1215   	1234
1458   	2413   	365   	77   	1016   	1093
1489   	2443   	413   	46   	1030   	1076
1492   	2488   	460   	52   	980   	1032
1536   	2401   	362   	0   	1174   	1174
1543   	486   	498   	144   	901   	1045
1554   	2410   	365   	1076   	113   	1189
